algorithm,dataset,size,batch,run_in_batch,seed,runs,runtime,emissions_per_run,cpu_energy_per_run,ram_energy_per_run,energy_consumed_per_run
quick_sort,reverse_sorted,1000,0,3,45,2193,0.0009121699174646018,3.4957117234864685e-11,6.3527083175010345e-09,2.525616598267255e-09,8.87832491576829e-09
insertion_sort,sorted,10000,0,3,45,2,1.4414628844999697,5.519744192915039e-08,1.0029789857639238e-05,3.98912425000017e-06,1.4018914107639404e-05
tim_sort,reverse_sorted,1000,0,3,45,251788,7.943206642095418e-06,3.0449076034003753e-13,5.5319898116448905e-11,2.2013935963323753e-11,7.733383407977266e-11
tim_sort,reverse_sorted,10000,0,4,46,16424,0.00012177898483925583,4.666425475058697e-12,8.479010382840743e-10,3.372665281498368e-10,1.1851675664339113e-09
tim_sort,sorted,1000,0,4,46,265192,7.541730131377213e-06,2.890307439469682e-13,5.250904444285328e-11,2.089829169892927e-11,7.340733614178257e-11
merge_sort,almost_sorted,10000,0,4,46,137,0.014647839284671269,5.614857255380276e-10,1.0203961942416031e-07,4.056518043389647e-08,1.426047998580568e-07
insertion_sort,unsorted,10000,0,4,46,2,1.5589586899999404,5.96155133721773e-08,1.0847668315972688e-05,4.293336995833544e-06,1.5141005311806231e-05
bubble_sort,reverse_sorted,10000,0,4,46,1,4.6749898180000855,1.7888460776369635e-07,3.2510781451388007e-05,1.2921902813888488e-05,4.54326842652765e-05
insertion_sort,almost_sorted,10000,0,4,46,2,1.6048224450000816,6.131488272483996e-08,1.11650759201396e-05,4.4075311500001316e-06,1.5572607070139732e-05
quick_sort,almost_sorted,1000,0,4,46,1994,0.001003160289869542,3.845217448339157e-11,7.007607478686472e-09,2.758383706675827e-09,9.765991185362298e-09
tim_sort,sorted,10000,0,4,46,20305,9.85019962570795e-05,3.759896616020695e-12,6.860126138882043e-10,2.6891692399245647e-10,9.549295378806606e-10
insertion_sort,almost_sorted,1000,0,4,46,157,0.012748497974521893,4.887271274758028e-10,8.881195386589172e-08,3.531379150743328e-08,1.2412574537332502e-07
merge_sort,sorted,1000,0,4,46,1929,0.0010370836023847212,3.9754811272093085e-11,7.225252250014928e-09,2.871579507229265e-09,1.0096831757244194e-08
insertion_sort,sorted,10000,0,4,46,2,1.5649432500000557,5.97679520722763e-08,1.0890883416667268e-05,4.288837911111425e-06,1.5179721327778691e-05
merge_sort,reverse_sorted,1000,0,4,46,1891,0.001058027522474857,4.050907532945617e-11,7.3726914698281605e-09,2.9157064663020943e-09,1.0288397936130257e-08
